dataset,fold,metric,k,vote,retention,n_train,n_test,fit_time_s,predict_time_s,total_time_s,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,confusion_matrix_json
adult,6,euclidean,7,modified_plurality,never_retain,43958,4884,0.005450199998449534,112.51383550000901,112.51928570000746,0.826986076986077,0.7654706619489902,0.7388292440306851,0.7502675695966872,0.8200795345725687,0.826986076986077,0.8224232104586695,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3373, 342], [503, 666]]}"
adult,7,euclidean,3,modified_plurality,never_retain,43958,4884,0.005595400012680329,112.44620999999461,112.45180540000729,0.8179770679770679,0.7523937674932195,0.7212894628190571,0.7341069397069961,0.8092713201252297,0.8179770679770679,0.8120147365834609,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3369, 347], [542, 626]]}"
adult,7,euclidean,5,modified_plurality,never_retain,43958,4884,0.00509530000272207,112.96953030000441,112.97462560000713,0.8261670761670762,0.7660991160294555,0.7293133543211878,0.7441722048507329,0.8174247908888309,0.8261670761670762,0.8197320356333884,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3400, 316], [533, 635]]}"
adult,7,euclidean,7,modified_plurality,never_retain,43958,4884,0.005382399991503917,111.74926640000194,111.75464879999345,0.8284193284193284,0.7688788330550127,0.7351963740654998,0.7491076409279995,0.8204104846135305,0.8284193284193284,0.8227005687240323,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3396, 320], [518, 650]]}"
adult,8,euclidean,3,modified_plurality,never_retain,43958,4884,0.005192799988435581,110.70677740000247,110.7119701999909,0.8192055692055692,0.7527399268552951,0.7329573521388442,0.741728611338802,0.8131804895635386,0.8192055692055692,0.8155272239161936,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3338, 378], [505, 663]]}"
adult,8,euclidean,5,modified_plurality,never_retain,43958,4884,0.005353400003514253,111.7710298999882,111.77638329999172,0.8257575757575758,0.7635659113871989,0.7363824704720056,0.7479984189739617,0.8186264954093394,0.8257575757575758,0.8210283974054576,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3373, 343], [508, 660]]}"
adult,8,euclidean,7,modified_plurality,never_retain,43958,4884,0.0052241999947000295,110.71687050000764,110.72209470000234,0.8253480753480753,0.7631264000388095,0.7349392482710825,0.7469060316837373,0.8179848182699546,0.8253480753480753,0.8204147949263755,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3375, 341], [512, 656]]}"
adult,9,euclidean,3,modified_plurality,never_retain,43957,4885,0.005906999998842366,112.58723260000988,112.59313960000873,0.8176049129989764,0.7498370744284029,0.7413120750940401,0.7453588848792134,0.8146994847939951,0.8176049129989764,0.8160222751808264,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3298, 417], [474, 696]]}"
adult,9,euclidean,5,modified_plurality,never_retain,43957,4885,0.005501499996171333,113.79218889999902,113.79769039999519,0.8221084953940635,0.7568446725225675,0.7410526739598072,0.7482452906132989,0.8173093355032581,0.8221084953940635,0.8192890760127872,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3331, 384], [485, 685]]}"
adult,9,euclidean,7,modified_plurality,never_retain,43957,4885,0.005339399998774752,112.67270380000991,112.67804320000869,0.8282497441146366,0.7662671415602896,0.746846924572362,0.7555508424056334,0.8229490400514191,0.8282497441146366,0.8250023081899477,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3355, 360], [479, 691]]}"
