dataset,metric,k,vote,retention,fold_id,num_folds,n_train,n_test,fit_time_s,predict_time_s,total_time_s,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,confusion_matrix_json
adult,cosine,5,modified_plurality,RetentionPolicy.ALWAYS_RETAIN,0,10,43958,4884,0.06641520000994205,52.37734730000375,52.44376250001369,0.7952497952497952,0.7188371068821104,0.665791355186186,0.6827951849296279,0.7783315119537084,0.7952497952497952,0.781250975120531,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3396, 319], [681, 488]]}"
adult,cosine,5,modified_plurality,RetentionPolicy.ALWAYS_RETAIN,1,10,43959,4883,0.06657269998686388,52.451200300012715,52.51777299999958,0.7939791112021298,0.7158588275924274,0.6676693661387563,0.6837304918877156,0.7776706829369171,0.7939791112021298,0.7811301566098152,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3380, 335], [671, 497]]}"
adult,cosine,5,modified_plurality,RetentionPolicy.ALWAYS_RETAIN,2,10,43957,4885,0.06424170001992024,52.49214600000414,52.55638770002406,0.7944728761514841,0.7162217023152957,0.6777979086861994,0.6918574376821385,0.7806087819832878,0.7944728761514841,0.7844989030615228,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3350, 365], [639, 531]]}"
adult,cosine,5,modified_plurality,RetentionPolicy.ALWAYS_RETAIN,3,10,43958,4884,0.06373029999667779,52.61496470001293,52.67869500000961,0.7895167895167895,0.7077464788732395,0.6644277983396494,0.679204853887557,0.7732655831247381,0.7895167895167895,0.7773455005297653,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3360, 356], [672, 496]]}"
adult,cosine,5,modified_plurality,RetentionPolicy.ALWAYS_RETAIN,4,10,43957,4885,0.06464179998147301,53.023899599997094,53.08854139997857,0.79467758444217,0.7175026136179867,0.6665719000258747,0.6831741537777902,0.7780026599981635,0.79467758444217,0.7811725105418259,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3390, 326], [677, 492]]}"
adult,cosine,5,modified_plurality,RetentionPolicy.ALWAYS_RETAIN,5,10,43958,4884,0.06398380000609905,52.8883926999988,52.9523765000049,0.7917690417690417,0.7121460029219884,0.6620920086409012,0.6782524288824954,0.7744937297143338,0.7917690417690417,0.7779560930103548,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3384, 332], [685, 483]]}"
adult,cosine,5,modified_plurality,RetentionPolicy.ALWAYS_RETAIN,6,10,43958,4884,0.0673157999990508,53.7820372999995,53.84935309999855,0.7932022932022932,0.7143117098441993,0.6703079900571861,0.6855117520285883,0.7776730427242331,0.7932022932022932,0.7814460129901882,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3366, 349], [661, 508]]}"
adult,cosine,5,modified_plurality,RetentionPolicy.ALWAYS_RETAIN,7,10,43958,4884,0.06770319998031482,53.06113820002065,53.128841400000965,0.802006552006552,0.7296209589637133,0.6805608291431352,0.697464354039171,0.7873662598632603,0.802006552006552,0.7902450995706537,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3394, 322], [645, 523]]}"
adult,cosine,5,modified_plurality,RetentionPolicy.ALWAYS_RETAIN,8,10,43958,4884,0.0642502999980934,52.590550599998096,52.65480089999619,0.7911547911547911,0.7108087649024224,0.663743051152366,0.679346035015448,0.7743869248064706,0.7911547911547911,0.7781285283036055,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3374, 342], [678, 490]]}"
adult,cosine,5,modified_plurality,RetentionPolicy.ALWAYS_RETAIN,9,10,43957,4885,0.06538139999611303,53.245728600013535,53.31111000000965,0.7840327533265097,0.6987003757593138,0.6606872116966329,0.6740033402532396,0.7680618899428059,0.7840327533265097,0.7726731275229621,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3334, 381], [674, 496]]}"
adult,cosine,7,borda,RetentionPolicy.NEVER_RETAIN,0,10,43958,4884,0.06593109999084845,48.33580120000988,48.40173230000073,0.7819410319410319,0.6949323918011099,0.6567499110604018,0.6699462055451113,0.7653916786319754,0.7819410319410319,0.7701707496590002,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3332, 383], [682, 487]]}"
adult,cosine,7,borda,RetentionPolicy.NEVER_RETAIN,1,10,43959,4883,0.06154930000775494,49.09253359999275,49.1540829000005,0.7909072291624002,0.7099846533436209,0.6712268847139512,0.6851525460806582,0.7761940335589858,0.7909072291624002,0.780331760854226,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3346, 369], [652, 516]]}"
adult,cosine,7,borda,RetentionPolicy.NEVER_RETAIN,2,10,43957,4885,0.06308560000616126,49.25069109999458,49.313776700000744,0.7950870010235415,0.7169498842476203,0.6846424175495508,0.697144626008481,0.782994043063535,0.7950870010235415,0.7868722517872171,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3331, 384], [617, 553]]}"
adult,cosine,7,borda,RetentionPolicy.NEVER_RETAIN,3,10,43958,4884,0.06346259999554604,48.69018340000184,48.75364599999739,0.7878787878787878,0.7048298298298299,0.6674607767963785,0.6808864249156401,0.7729150116537503,0.7878787878787878,0.7772854846151098,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3338, 378], [658, 510]]}"
adult,cosine,7,borda,RetentionPolicy.NEVER_RETAIN,4,10,43957,4885,0.06060500000603497,48.08792289998382,48.14852789998986,0.797338792221085,0.7212970608351632,0.6768228113970429,0.6924276197027452,0.7826070607844963,0.797338792221085,0.7860864898058687,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3374, 342], [648, 521]]}"
adult,cosine,7,borda,RetentionPolicy.NEVER_RETAIN,5,10,43958,4884,0.061618699983228,48.452728100004606,48.514346799987834,0.7866502866502867,0.7027561375930463,0.6616634656502056,0.6757839854440928,0.7703169124975495,0.7866502866502867,0.7746941169123638,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3349, 367], [675, 493]]}"
adult,cosine,7,borda,RetentionPolicy.NEVER_RETAIN,6,10,43958,4884,0.06347180000739172,48.67227290000301,48.7357447000104,0.7925880425880426,0.712794048887424,0.678991142882472,0.691795108420707,0.779621518611692,0.7925880425880426,0.7836743817433122,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3332, 383], [630, 539]]}"
adult,cosine,7,borda,RetentionPolicy.NEVER_RETAIN,7,10,43958,4884,0.06650240000453778,48.65539459997672,48.721896999981254,0.7958640458640459,0.7183095222796793,0.6776983462848548,0.6923501887561114,0.7816863427071861,0.7958640458640459,0.7854505445312674,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3360, 356], [641, 527]]}"
adult,cosine,7,borda,RetentionPolicy.NEVER_RETAIN,8,10,43958,4884,0.0623106999846641,48.64376110001467,48.706071799999336,0.7911547911547911,0.7105017531188671,0.6681459847825766,0.6828599694171302,0.7755346458136565,0.7911547911547911,0.7795436434842501,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3359, 357], [663, 505]]}"
adult,cosine,7,borda,RetentionPolicy.NEVER_RETAIN,9,10,43957,4885,0.06485349999275059,49.234610399988014,49.299463899980765,0.7840327533265097,0.6989759080366074,0.6671279520539278,0.6790345192927427,0.7701128358258947,0.7840327533265097,0.7746753588116895,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3312, 403], [652, 518]]}"
adult,cosine,5,modified_plurality,RetentionPolicy.DD_RETENTION,0,10,43958,4884,0.0673084000009112,49.71808900000178,49.785397400002694,0.7938165438165438,0.7161342146776738,0.6645561021774946,0.6811763895183257,0.7768026839990121,0.7938165438165438,0.7799644821270971,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3390, 325], [682, 487]]}"
adult,cosine,5,modified_plurality,RetentionPolicy.DD_RETENTION,1,10,43959,4883,0.06422030000248924,50.31257460001507,50.37679490001756,0.7941839033381118,0.7161689960000948,0.6683909410202991,0.6843961804298576,0.7780127460747693,0.7941839033381118,0.781489697876845,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3379, 336], [669, 499]]}"
adult,cosine,5,modified_plurality,RetentionPolicy.DD_RETENTION,2,10,43957,4885,0.06045409999205731,50.165465199999744,50.2259192999918,0.7916069600818834,0.7114105513844037,0.6747426119566092,0.6882225589357311,0.7776552317268528,0.7916069600818834,0.7817573264142087,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3340, 375], [643, 527]]}"
adult,cosine,5,modified_plurality,RetentionPolicy.DD_RETENTION,3,10,43958,4884,0.06575789998169057,50.20197409999673,50.26773199997842,0.7907452907452908,0.7099954076586124,0.6643545313122079,0.6796674128229351,0.7742122310371568,0.7907452907452908,0.7780771600225742,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3369, 347], [675, 493]]}"
adult,cosine,5,modified_plurality,RetentionPolicy.DD_RETENTION,4,10,43957,4885,0.061826799996197224,50.3880812000134,50.4499080000096,0.7942681678607983,0.7167684259316593,0.6660096307461963,0.6825423973546153,0.7775230712666907,0.7942681678607983,0.7807361646007327,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3389, 327], [678, 491]]}"
adult,cosine,5,modified_plurality,RetentionPolicy.DD_RETENTION,5,10,43958,4884,0.06459890000405721,50.11836610001046,50.18296500001452,0.7917690417690417,0.7121784814016158,0.6617984797322205,0.6780103159286368,0.7744242603507261,0.7917690417690417,0.7778577955846312,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3385, 331], [686, 482]]}"
