config_id,kernel,c,gamma,degree,fold_id,num_folds,n_train,n_test,fit_time_s,predict_time_s,total_time_s,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,confusion_matrix_json
svm-rbf-c1-g0.01-d3,rbf,1,0.01,3,5,10,43958,4884,12.014973640441895,3.780790328979492,15.795763969421387,0.8454135954135954,0.8075240206947524,0.7372649003937066,0.7620340000290405,0.8373764128974772,0.8454135954135954,0.8355211010459364,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3510, 206], [549, 619]]}"
svm-rbf-c1-g0.01-d3,rbf,1,0.01,3,6,10,43958,4884,12.213607788085938,3.806108236312866,16.019716024398804,0.8419328419328419,0.7994299483028737,0.7357567119174456,0.7587381443805592,0.8333523204602088,0.8419328419328419,0.8325922936023555,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3490, 225], [547, 622]]}"
svm-rbf-c1-g0.01-d3,rbf,1,0.01,3,7,10,43958,4884,12.23656177520752,3.8196158409118652,16.056177616119385,0.8447993447993448,0.8063246365950378,0.7365677116357255,0.7611775382747161,0.8366568013551164,0.8447993447993448,0.8349036154459113,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3508, 208], [550, 618]]}"
svm-rbf-c1-g0.01-d3,rbf,1,0.01,3,8,10,43958,4884,12.199368000030518,3.8009700775146484,16.000338077545166,0.8456183456183456,0.807569033530572,0.7379865114941682,0.7626147818024108,0.8376030010645396,0.8456183456183456,0.8358464579114835,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3509, 207], [547, 621]]}"
svm-rbf-c1-g0.01-d3,rbf,1,0.01,3,9,10,43957,4885,12.119953155517578,3.7996935844421387,15.919646739959717,0.8454452405322416,0.8071756836989485,0.7385374607447286,0.7629296367024074,0.8374322920061031,0.8454452405322416,0.8357964693696274,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3506, 209], [546, 624]]}"
svm-rbf-c1-g0.1-d3,rbf,1,0.1,3,0,10,43958,4884,22.964166402816772,4.205068349838257,27.16923475265503,0.8490990990990991,0.808853064367003,0.7501405188085662,0.7722534808379207,0.8416108662940863,0.8490990990990991,0.8412168026895105,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3492, 223], [514, 655]]}"
svm-rbf-c1-g0.1-d3,rbf,1,0.1,3,1,10,43959,4883,26.415828704833984,4.181667804718018,30.597496509552002,0.8476346508294081,0.8078817150223425,0.74548825568318,0.7684936094980432,0.8398926943143425,0.8476346508294081,0.8390968432181786,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3497, 218], [526, 642]]}"
svm-rbf-c1-g0.1-d3,rbf,1,0.1,3,2,10,43957,4885,26.77891755104065,4.169521808624268,30.948439359664917,0.8487205731832139,0.8079342265447118,0.7503520033129724,0.7721381826587022,0.8412145254209502,0.8487205731832139,0.8409595752734207,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3489, 226], [513, 657]]}"
svm-rbf-c1-g0.1-d3,rbf,1,0.1,3,3,10,43958,4884,22.932456970214844,4.14470648765564,27.077163457870483,0.8495085995085995,0.8083117113489725,0.7522841802202987,0.7736825716716934,0.8421074843788277,0.8495085995085995,0.8420252384309566,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3488, 228], [507, 661]]}"
svm-rbf-c1-g0.1-d3,rbf,1,0.1,3,4,10,43957,4885,22.63480520248413,4.168982982635498,26.80378818511963,0.8470829068577277,0.8039899056994568,0.7496825509368776,0.7704905443496766,0.8394299683246154,0.8470829068577277,0.8396190869818545,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3480, 236], [511, 658]]}"
